noncompliance,股东权益/负债合计_EquTotLia,股东类别_SHType,每股收益(元/股)_BasicEPS,每股经营活动现金流量(元/股)_OpeCFPS,营业利润/营业总收入()_OpePrTOR,净利润()_NetPrf,有形净值债务率(%)_DbTanEquRt,每股现金及现金等价物余额(元/股)_CCEPS,资产负债率(%)_DbAstRt,经营现金净流量(元)_NOCF,股东总户数(户)_SHNum,利润总额增长率(%)_TotPrfGrRt,营业收入增长率(%)_OpeIncmGrRt,户均持股数(股/户)_AvgHS,每股资本公积金(元/股)_CapSurFdPS,股东权益周转率(次)_EquRat,产权比率(%)_DbEquRt,权益乘数(%)_EquMul,营业收入3年复合增长率(%)_OperaInc3GrRt
1.0,110.4694,0,0.0698,-0.1696,7.1291,56795267.17,108.7024,0.4143,40.8789,-138035573.83,98042.0,-50.3512,-3.6747,8303.0,0.7949,0.4205,69.1442,1.6914,-4.622
1.0,188.6212,0,0.61,0.854,10.8036,382115791.9,57.8121,1.8344,33.5835,534961767.57,47637.0,-13.7859,8.8828,13149.0,0.2677,1.0675,50.565,1.5056,11.3971
1.0,35.4071,1,0.01,-1.1303,-45.4209,18051860.6,334.6187,0.8549,73.4626,-1802976520.53,45243.0,101.8748,5.3417,35258.0,0.8399,2.2301,276.8262,3.7683,-23.1548
1.0,297.0299,0,1.86,1.1441,28.0363,515566574.58,47.1087,0.7015,25.189,328465709.34,12732.0,23.9927,81.9351,22550.0,2.6566,0.9925,33.6701,1.3367,22.9617
1.0,80.9723,0,0.3539,0.0594,4.0816,77860426.59,138.3406,0.7108,51.7863,13072142.46,21691.0,31.7674,12.8161,10142.0,1.1694,2.2031,107.4101,2.0741,11.1301
1.0,141.8598,1,0.1809,0.5599,10.1237,54842444.53,71.0228,1.4905,41.1106,169791799.77,35615.0,8.9495,-0.8419,8514.0,0.2838,0.9102,69.8098,1.6981,8.9858
1.0,60.7509,0,0.03,-0.1001,3.3563,14564603.94,228.0802,0.1069,61.4285,-43956790.55,27115.0,-34.8554,-10.832,16198.0,0.1554,0.8589,159.2587,2.5926,13.6934
1.0,72.6489,0,0.02,0.1811,-0.1242,15393837.68,159.4528,0.854,57.5148,133958957.84,68725.0,-85.515,-15.5572,10763.0,2.0639,0.6825,135.376,2.3538,3.1674
1.0,119.6584,0,0.21,0.1579,9.6612,143475832.18,163.4078,0.4613,43.054,109971829.27,32299.0,597.7379,-4.6003,21570.0,0.8578,1.0954,75.6049,1.756,10.6086
1.0,171.1325,0,0.26,0.0846,12.2156,169405196.13,69.6767,0.1946,36.8769,62088541.2,67974.0,50.5519,11.041,10798.0,0.9516,0.9185,58.4207,1.5842,33.4922
1.0,257.6551,0,0.62,0.2216,28.0122,386685252.56,41.8255,1.3961,27.4288,140664561.19,31066.0,10.5257,23.585,20433.0,1.8725,0.5683,37.7957,1.378,23.6981
1.0,136.3899,0,0.3,0.2719,12.1166,118936497.53,97.5957,0.1976,42.303,107400111.6,19597.0,2.9468,17.1743,20156.0,1.3723,0.7722,73.3192,1.7332,22.914
1.0,307.9744,0,0.3426,0.3157,36.1263,120648081.01,85.2743,0.5956,22.3625,111157486.51,18306.0,122.9252,108.1734,19237.0,1.4947,0.4185,28.8037,1.288,65.7277
1.0,241.4536,0,0.43,0.1652,6.4447,23191178.75,43.6449,2.8436,29.3575,10156805.34,8212.0,-29.0021,-0.7598,7489.0,3.0942,1.2363,41.5578,1.4156,8.9123
1.0,476.8709,0,0.16,0.1938,5.1363,21389707.47,22.0583,2.0923,16.5986,26631420.02,27881.0,-48.1948,37.8201,4930.0,1.0415,0.721,19.902,1.199,25.0123
1.0,429.4575,0,1.692,1.5649,37.8113,101521705.63,23.4126,2.2307,18.8873,93896411.24,4.0,27.5953,46.5806,15000000.0,0.0283,1.9535,23.2852,1.2329,51.9204
1.0,53.4312,0,-0.04,-0.3932,-3.5803,-41410071.39,188.0848,0.072,65.1758,-454119039.07,195178.0,85.6038,-32.3688,5917.0,0.0551,0.8187,187.1566,2.8716,18.7407
1.0,6.6692,0,2.665,19.2366,45.0815,50604000000.0,1584.722,14.19,93.684,358820000000.0,196015.0,7.814,18.9713,95163.0,3.2509,0.5094,1483.2869,15.8329,20.8888
1.0,35.2943,1,0.28,2.4964,0.8559,288854825.97,353.3738,1.6459,65.5411,2922771096.47,52002.0,13.9537,23.8495,22514.0,2.9952,12.2171,190.2004,2.902,26.853
1.0,190.0144,1,0.2853,0.4172,29.0936,6562453504.51,77.8948,0.4971,31.8433,9667366614.38,313139.0,0.2285,2.544,74004.0,0.3745,0.517,46.7206,1.4672,1.3097
1.0,58.2378,1,2.702,2.3575,6.5013,29793790723.65,203.1551,5.633,58.7755,25992574916.3,127409.0,7.3108,5.5307,86537.0,3.5318,4.0292,142.5741,2.4257,11.3975
1.0,68.8561,1,0.28,-0.2501,3.3796,85020919.26,174.3084,0.9005,52.3954,-76894527.17,39178.0,42.0027,53.9947,7846.0,1.0792,2.9097,110.0636,2.1006,19.2582
1.0,18.7461,0,0.2273,-3.3412,16.648,457241571.49,593.8176,1.6249,73.0328,-6721040096.52,98377.0,0.8252,-3.9468,20447.0,0.7741,0.9807,270.8213,3.7082,45.5342
1.0,149.6829,1,0.22,0.3752,2.3978,77030225.8,69.3478,0.7462,39.6347,138351918.97,19933.0,126.6368,7.7848,18500.0,2.8319,1.9552,65.658,1.6566,1.741
1.0,18.6115,1,0.31,1.4729,1.6651,1870536392.52,668.7109,6.4328,83.2613,8753629742.0,209434.0,6.8054,8.5718,28378.0,0.685,6.2392,497.4177,5.9742,10.4251
1.0,109.505,1,0.18,0.5493,0.5335,637218130.0,98.4214,4.8242,46.7067,1902023306.0,123909.0,-69.8635,-6.5638,27946.0,3.3748,4.0546,87.641,1.8764,5.4242
1.0,8.4047,1,-1.33,2.6394,-54.8099,-2487072739.29,1365.4158,2.0539,88.3525,4927874418.43,121046.0,-2266.8729,5.4185,15424.0,0.0212,1.1935,758.5548,8.5855,2.153
1.0,21.9237,0,0.48,-1.2462,14.6937,519654725.22,464.2028,4.95,79.7891,-1350128387.85,35092.0,-26.9474,9.2912,30872.0,0.0311,1.0306,394.7827,4.9478,21.7617
1.0,113.339,0,0.39,0.4392,7.8932,107815712.92,102.92,0.5386,46.8232,122416216.14,35084.0,43.7772,13.3131,7945.0,0.314,1.361,88.0519,1.8805,19.7354
1.0,388.205,1,0.23,-0.0168,94.9606,92303883.45,28.1523,0.2946,20.4832,-6740944.31,63183.0,109.8946,-17.4321,6345.0,0.4582,0.0951,25.7596,1.2576,-18.3296
1.0,33.3243,1,0.26,-2.6903,8.1242,160253316.97,356.3965,1.3399,63.2108,-1680792208.97,88641.0,-12.8272,-20.7517,7048.0,0.3512,1.8792,171.819,2.7182,11.9599
1.0,23.3821,1,1.11,1.1325,49.9744,9835510426.14,433.1385,12.2469,80.9585,10800919401.88,1187.0,162.5062,130.1016,8034759.0,2.2725,0.6111,425.1679,5.2517,67.8585
1.0,120.745,0,1.09,-2.4083,7.3451,91760316.75,87.855,1.9594,45.18,-226686903.45,7741.0,22.1573,19.885,12159.0,4.6615,2.3275,82.4151,1.8242,28.2348
1.0,130.201,0,0.43,0.7416,12.7979,39101775.43,82.3868,0.1285,43.4403,66935238.49,40.0,-21.9247,-4.0663,2256500.0,0.6387,0.7344,76.8043,1.768,8.4131
1.0,97.7904,1,0.25,0.3703,33.4553,85374101.48,184.1194,0.2393,50.5586,124979306.81,5.0,0.5794,12.373,67500000.0,0.943,0.3559,102.2595,2.0226,22.4746
0.0,40.5724,1,-0.76,-0.1476,-24.3923,-132311026.66,405.1996,1.1171,65.6657,-25767014.92,14291.0,-593.7357,-19.7286,12220.0,3.3059,1.1964,191.2537,2.9125,-11.2116
0.0,1084.719,0,0.8079,0.4577,20.3657,32276236.88,10.0963,3.2244,8.4408,18675742.23,5863.0,6.814,15.8602,6959.0,3.9396,0.6197,9.219,1.0922,14.8936
0.0,76.8355,1,-0.49,0.3452,-27.6945,-207817373.56,168.811,0.4165,44.6461,145654400.12,31510.0,-1711.8944,-40.3988,13393.0,1.6204,1.3192,80.6556,1.8066,-29.2909
0.0,308.7847,0,0.57,0.6761,12.9104,41168296.01,38.2488,1.2004,24.4628,48677010.53,9.0,8.3197,6.7207,8000000.0,1.5552,1.219,32.385,1.3238,10.0509
0.0,107.7764,0,0.56,1.0343,2.6151,75183905.3,125.5144,1.0864,46.6369,138596916.75,11.0,-5.4155,19.2162,12181818.0,2.2632,2.7629,87.3953,1.874,9.5832
0.0,183.7268,0,0.0321,0.2705,2.121,10407949.21,77.3681,0.5118,35.1074,87864256.11,31989.0,-79.3034,28.9846,10152.0,1.8718,0.3781,54.1007,1.541,32.9974
0.0,199.8435,0,0.501,0.1797,21.0776,262851339.14,94.0237,0.2515,33.3319,94720852.27,28621.0,42.9718,43.8412,18414.0,1.7613,0.5883,49.9967,1.5,61.3808
0.0,224.0297,0,0.38,0.5595,3.8885,314180763.53,49.7493,0.8849,28.8974,465025293.77,34045.0,24.4806,6.0929,24414.0,0.1291,3.8516,40.6418,1.4064,6.0117
0.0,148.9996,0,0.13,0.1103,24.8598,52679055.47,79.8317,0.4194,40.1607,46238560.78,24069.0,-12.6673,43.2839,17416.0,0.8173,0.2534,67.1143,1.6711,21.2213
0.0,162.7086,0,0.22,0.0534,4.3996,43673281.76,71.6456,0.9408,38.065,10575533.26,12920.0,-12.0703,-13.289,15325.0,2.1519,1.2251,61.4596,1.6146,-3.2186
0.0,330.0307,0,0.34,0.624,11.1797,269460145.5,32.769,0.1536,23.2563,499205419.21,43180.0,14.4066,-14.9311,18527.0,2.3983,0.7199,30.3039,1.303,-8.297
