city,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04
北京,100,100.5,100.5,100.6005,100.801701,100.9025027,100.9025027,100.9025027,100.9025027,100.8016002,100.3983938,100.197597,100.0973994,99.89720461,99.39771859,99.19892315,99.09972423,99.3970234,99.69521447,99.8946049,99.99449951,100.294483,101.0968389,102.1078073,104.2520712,107.4838854,110.3859503,112.3728974,114.1708638,116.1117685,117.9695568,119.2672219,120.6984286,121.664016,122.5156641,123.2507581,123.8670119,124.2386129,124.859806,124.9846658,125.2346351,125.3598697,123.7301914,122.2454291,121.1452203,119.5703324,119.2116214,118.9731982,118.854225,118.4976623,118.8531553,119.8039805,121.4812363,123.424936,125.1528851,126.7798727,128.1744512,129.1998469,130.4918453,131.1443046,132.5868919,135.6363904,140.1123913,144.315763,147.7793414,151.1782662,153.7482967,159.590732,167.4106779,168.4151419,168.4151419,168.2467268,168.2467268,168.0784801,168.750794,169.0882956,169.0882956,168.4119424,168.2435305,168.2435305,167.9070434,167.5712293,167.5712293,167.5712293,167.9063718,167.4026527,167.5700553,167.9051954,168.2410058,168.2410058,168.5774878,168.5774878,168.5774878,168.9146428,169.9281307,171.627412,172.6571764,172.3118621,173.0011095,173.8661151,174.9093118,174.7344025,175.7828089,176.6617229,176.6617229,176.3083995,179.3056423,180.0228648,180.0228648,180.2028877,180.2028877,179.662279,180.5605904,181.2828328,181.8266813,182.9176414,183.4663943,183.8333271,183.6494938,184.2004422,185.1214444,186.4172946,186.7901291,187.9108699,188.4746025,190.170874,191.6922409,192.0756254,192.0756254,193.2280792,193.8077634,193.8077634,195.7458411,196.9203161,197.7079974,199.0919533,199.8883212,201.4874277,202.4948649,203.3048443,203.711454,204.5262998,204.7308261,205.1402878,205.9608489,206.3727706,206.9918889,208.2338403,208.650308,208.8589583,209.6943941,209.2750053,210.1121053,209.2716569,209.0623853,209.0623853,208.8533229,208.6444695,208.6444695,207.1839583,204.9049347,203.6755051,202.6571276,201.6438419,200.2323351,198.8307087,197.8365552,197.6387186,196.8481637,197.0450119,196.6509219,196.8475728
天津,100,101,101.505,101.70801,101.402886,101.2000802,101.5036804,101.6051841,101.3003686,100.9964675,100.5924816,100.2907041,100.0901227,100.0901227,100.0901227,99.88994249,100.0897224,100.0897224,100.2899018,100.6910614,100.6910614,100.6910614,101.1945167,101.3969058,101.9038903,103.5343525,105.0873678,105.8229794,106.2462713,106.5650101,107.0978352,107.6333244,108.2791243,108.6039617,109.1469815,109.8018634,110.3508727,110.9026271,111.1244323,111.2355567,111.2355567,110.679379,109.6832646,108.4767486,107.5004579,106.6404542,106.2138924,106.0014646,105.6834602,105.5777768,105.7889323,105.8947213,106.1065107,106.5309368,106.7439986,107.0642306,107.5995518,107.9223504,108.4619622,109.4381198,109.9853104,110.8651929,113.3042272,116.4767455,119.3886642,122.1346035,125.0658339,129.568204,135.0100685,136.7651994,137.4490254,137.4490254,137.0366783,137.584825,137.8599947,137.7221347,137.8598568,137.8598568,137.5841371,137.446553,137.446553,137.5839995,137.1712475,137.44559,138.132818,138.2709508,138.2709508,138.4092218,139.1012679,139.5185717,139.5185717,139.7976088,140.2170016,140.3572186,139.936147,140.0760831,139.936007,140.4957511,140.9172383,141.903659,142.1874663,142.7562162,142.3279475,142.4702755,142.755216,142.1841952,142.1841952,142.042011,141.7579269,141.1908952,141.0497043,141.3318038,141.897131,142.7485138,143.4622563,143.8926431,144.1804284,143.6037067,144.0345178,144.0345178,144.4666213,145.0444878,145.9147547,146.936158,147.817775,149.148135,150.0430238,150.4931528,150.3426597,149.5909464,148.6934007,147.6525469,146.6189791,146.7655981,147.0591292,146.9120701,146.1775098,145.8851547,145.0098438,144.4298044,144.1409448,143.708522,142.8462709,141.846347,142.271886,143.552333,144.7007517,145.5689562,145.8600941,146.2976744,146.005079,145.4210587,145.1302166,145.1302166,145.7107374,145.1278945,145.2730224,145.8541145,145.4165521,145.5619687,144.9797208,144.5447816,144.2556921,143.3901579,141.669476,140.9611287,141.384012,141.6667801,142.0917804,141.6655051,142.0905016,142.6588636
石家庄,100,100.2,101.1018,101.3040036,101.5066116,101.7096248,101.9130441,101.9130441,102.0149571,101.8109272,101.6073054,101.5056981,101.201181,101.201181,101.201181,101.0999798,101.0999798,101.3021797,102.011295,102.2153176,102.4197482,102.4197482,102.8294272,102.5209389,103.2385855,104.4774485,105.7311779,106.4712962,107.0036526,108.3947001,108.9366736,109.808167,110.7964405,112.0152014,112.5752774,112.9130032,113.5904812,114.0448431,114.5010225,114.5010225,113.6995154,113.6995154,112.7899192,111.4364402,110.2106394,109.4391649,109.2202866,109.1110663,109.0019552,108.5659474,109.0002112,109.3272118,109.436539,109.6554121,110.0940337,110.6445039,110.9764374,110.7544845,110.9759935,111.0869695,111.3091435,111.9769983,112.5368833,113.5497153,114.6852124,115.9467497,119.077312,123.4831725,128.9164321,131.2369279,132.0243495,132.2883982,132.4206866,132.6855279,133.8796977,134.0135774,134.0135774,134.6836453,135.0876962,135.2227839,135.6284523,135.8997092,136.1715086,136.1715086,136.3076801,136.4439878,137.3990957,137.811293,139.4650285,139.8834236,142.681092,143.9652219,145.5488393,150.351951,152.4568783,156.2683003,157.2059101,158.9351751,161.0013324,161.806339,163.7480151,165.3854952,165.3854952,167.7008922,169.2102002,170.0562512,170.0562512,171.246645,171.246645,171.246645,171.5891383,172.6186731,172.9639104,173.1368743,173.656285,173.8299413,174.8729209,175.2226667,175.9235574,175.7476339,175.7476339,175.3961386,176.4485154,177.330758,178.040081,178.040081,178.3961612,177.8609727,178.5724166,176.60812,174.4888226,172.9184232,172.2267495,172.2267495,172.7434297,173.0889166,172.5696498,172.2245105,171.707837,170.8492978,170.3367499,169.1443927,168.8061039,167.7932673,167.9610605,168.2969827,169.4750615,170.661387,171.5146939,171.3431792,171.0004928,169.8034894,168.954472,169.4613354,168.9529514,169.4598102,169.62927,169.7988993,169.6291004,168.7809549,167.5994882,166.7614908,166.0944448,165.7622559,165.2649691,164.4386443,164.2742057,163.6171088,163.4534917,162.9631313,162.8001681,162.4745678
太原,100,99.6,99.8988,100.0985976,100.498992,100.800489,101.0020899,101.0020899,101.103092,101.0019889,101.0019889,101.0019889,101.0019889,101.0019889,101.0019889,101.0019889,100.900987,101.0018879,101.1028898,101.3050956,101.3050956,101.3050956,101.6090109,102.218665,102.525321,103.6530995,104.4823243,105.8405945,108.063247,109.3600059,110.344246,111.3373442,112.6733923,113.9127997,114.2545381,114.5973017,115.3994828,115.8610807,116.208664,116.3248726,116.4411975,115.9754327,114.1198258,112.8645077,111.6229981,111.0648831,110.6206236,110.0675205,109.7373179,109.408106,109.6269222,109.7365491,109.9560222,110.0659782,110.3961761,110.5065723,110.9485986,111.1704958,111.5040073,111.6155113,111.6155113,111.7271268,112.0623082,111.9502459,111.9502459,112.6219474,112.5093254,112.8468534,113.4110877,113.7513209,113.9788236,114.32076,114.8923638,115.3519333,115.928693,117.435766,118.4926879,119.9146001,120.3942585,120.635047,121.2382223,122.0868898,122.5752374,123.3106888,123.9272422,123.9272422,124.6708057,126.416197,127.3011104,128.064917,129.601696,132.0641283,133.3847695,134.0516934,135.7943654,137.0165147,138.3866798,139.4937733,140.1912421,141.0323896,141.5965191,142.4460983,142.5885444,143.8718413,144.4473286,144.4473286,144.591776,143.4350417,142.5744315,142.5744315,142.7170059,143.1451569,143.8608827,144.724048,144.579324,144.2901653,143.7130047,143.2818657,142.7087382,142.4233207,141.8536274,141.7117738,141.570062,141.8532022,142.2787618,141.9942042,141.9942042,141.7102158,140.7182443,140.2960896,139.5946091,138.3382577,138.1999194,137.6471197,137.3718255,136.5475945,136.1379517,136.2740897,135.7289933,135.0503484,134.2400463,133.7030861,132.7671645,131.9705615,132.2345026,132.8956751,133.0285708,133.4276565,134.3616501,134.0929268,134.2270198,134.4954738,133.9574919,133.2877044,132.8878413,133.4193927,132.7522957,132.6195434,133.0174021,133.2834369,133.4167203,133.0164701,133.0164701,132.7504372,133.1486885,133.4149859,133.5484009,133.5484009,133.9490461,134.0829951,134.3511611,134.7542146
呼和浩特,100,100.7,101.0021,101.8101168,102.2173573,102.421792,102.7290574,102.8317864,102.8317864,102.7289546,102.6262257,102.4209732,102.4209732,102.4209732,102.3185522,102.2162337,102.1140175,101.9097894,101.9097894,101.5021503,101.0961417,100.9950455,101.5000208,101.6015208,102.7191375,104.1572054,104.3655198,104.2611543,105.7208105,106.7780186,108.0593548,108.8157703,109.4686649,110.7822889,111.6685472,112.3385585,112.7879127,113.3518523,113.3518523,113.3518523,113.3518523,113.578556,112.4427704,110.5312433,109.2048684,108.2220246,107.1398044,106.1755461,105.7508439,104.7990863,104.5894882,104.0665407,103.7543411,103.7543411,103.6505868,103.6505868,103.6505868,102.9250326,103.0279577,103.1309856,103.0278547,103.2339104,103.5436121,103.7506993,103.85445,104.0621589,103.9580968,104.166013,103.9576809,104.269554,104.1652844,104.2694497,104.0609108,104.3730935,104.5818397,105.1047489,105.5251679,105.8417434,106.7943191,107.8622623,108.1858491,109.1595217,110.3602765,111.2431587,111.3544018,111.9111738,112.4707297,113.595437,115.412964,116.6825066,119.4828868,122.9478905,126.3904314,128.4126783,132.136646,134.6472423,136.6669509,137.7602865,138.1735674,138.8644352,139.9753507,142.494907,143.6348663,146.7948333,148.7031661,152.2720421,154.5561228,155.9471279,156.7268635,156.7268635,156.8835904,157.6680083,159.2446884,159.4039331,160.3603567,161.1621585,161.8068071,162.777648,163.4287585,163.7556161,163.9193717,163.5915329,163.1007583,163.1007583,163.9162621,164.2440947,164.0798506,164.4080103,163.9147862,163.0952123,162.2797362,162.2797362,162.1174565,161.7932216,161.6314284,160.8232712,160.9840945,160.3401581,160.8211786,159.2129668,159.3721798,159.3721798,159.3721798,157.1409693,156.6695463,157.6095636,158.3976114,158.8728043,159.0316771,159.3497404,159.1903907,159.0312003,158.5541067,158.2369985,157.6040505,157.1312383,156.0313197,155.5632257,154.9409728,154.1662679,153.3954366,152.475064,152.3225889,151.7132986,150.8030188,149.5965946,148.5494185,147.3610231,146.476857,145.5979958,144.8700059,144.5802658
沈阳,100,100,100.5,101.2035,101.7095175,102.1163556,102.4227046,102.7299728,102.8327027,102.8327027,102.2157065,102.0112751,101.9092638,101.8073546,101.6037398,101.6037398,101.4005324,101.5019329,101.6034348,101.5018314,101.6033332,101.2985232,101.7037173,101.9071248,103.4357316,104.9872676,106.1421275,108.3711122,110.3217922,111.4250102,112.6506853,113.5518908,114.8009616,115.1453644,115.4908005,115.7217821,116.0689475,116.5332233,116.9993562,117.1163555,116.6478901,115.5980591,113.6328921,111.7011329,110.3607193,108.92603,107.6189176,106.6503474,106.223746,105.6926272,105.481242,105.481242,105.2702795,105.7966309,106.0082242,106.3262488,106.1135963,105.6891419,105.6891419,105.5834528,105.6890363,105.3719691,105.5827131,106.5329575,107.0656223,107.2797535,107.3870333,107.4944203,107.7094092,108.1402468,108.248387,108.8978774,109.0067752,109.6608159,110.9767457,112.9743271,115.1208393,116.9627728,117.8984749,118.4879673,119.3173831,120.0332874,120.9935537,121.4775279,122.5708256,122.9385381,123.5532308,124.5416567,126.6588648,128.4320889,130.2301382,131.6626697,133.3742844,135.3748987,136.322523,137.0041356,137.5521521,138.2399129,139.3458322,140.321253,141.5841443,142.9999857,143.8579856,145.0088495,146.458938,148.2164453,149.1057439,149.8512727,150.3008265,151.0523306,151.6565399,152.8697923,154.3984902,155.7880766,157.0343812,158.7617594,158.7617594,158.6029976,158.4443946,157.8106171,159.073102,159.073102,159.5503213,160.5076232,161.9521918,163.0858572,163.9012865,164.3929903,164.2285973,163.7359116,163.0809679,162.2655631,161.2919697,160.3242179,159.682921,159.3635552,159.2041916,159.3633958,158.7259422,157.4561347,156.9837663,156.0418637,154.9495706,154.0198732,153.4037937,153.2503899,154.0166419,154.3246751,154.7876492,154.3232862,153.3973465,153.5507439,153.8578453,153.7039875,152.4743556,152.1694069,151.2563904,150.1975957,149.7470029,149.4475089,148.8497189,147.3612217,147.0664993,146.0370338,145.4528856,145.5983385,145.4527402,145.7436456,145.4521584,145.7430627,145.5973196,145.0149303
大连,100,100.4,101.0024,101.6084144,102.0148481,102.2188778,102.3210966,102.1164544,102.1164544,102.1164544,102.1164544,102.014338,101.9123236,101.9123236,101.708499,101.6067905,101.7083973,102.1152309,102.3194613,102.5241003,102.6266244,102.8318776,103.0375414,103.2436165,103.8630781,105.005572,106.0556277,107.5404065,108.9384318,110.1367546,110.9077118,111.3513427,112.0194507,112.579548,113.0298662,113.8210752,114.1625385,114.5050261,114.9630462,115.0780092,115.0780092,115.0780092,113.5819951,111.7646832,110.6470364,109.2086249,107.6797041,106.6029071,105.9632897,105.5394365,105.2228182,105.328041,105.328041,105.7493532,105.9608519,105.9608519,105.6429693,104.9034685,104.7985651,104.6937665,104.6937665,104.3796852,104.5884446,105.4251521,105.9522779,106.2701347,105.6325139,105.9494115,106.0553609,106.691693,107.2251515,107.3323767,107.3323767,107.8690385,108.5162528,109.7099315,110.8070309,111.361066,112.3633156,112.9251322,113.602683,114.3979018,115.5418808,116.4662158,118.3296753,119.512972,120.3495628,121.673408,123.741856,125.9692094,127.2289015,128.5011905,129.2721976,130.177103,131.9995825,133.1875787,133.0543911,135.4493702,136.8038639,137.7614909,139.6901518,141.3664336,142.7800979,143.6367785,143.2058682,143.6354858,143.9227568,144.354525,144.4988796,145.0768751,145.3670288,146.093864,147.2626149,148.5879784,149.3309183,149.7789111,150.5278056,150.979389,150.979389,151.2813478,151.4326292,151.7354944,152.9493784,154.020024,155.8682643,157.426947,158.3715086,159.3217377,159.4810594,159.1620973,158.8437731,158.208398,157.8919812,157.2604133,156.1595904,156.0034308,155.691424,155.2243497,155.0691253,154.7589871,153.9851921,152.1373698,151.376683,150.7711763,150.6204051,150.1685439,149.5678697,148.9695982,148.5226894,148.8197348,147.7779967,148.2213306,147.3320027,146.8900066,145.5679966,144.6945886,144.8392832,144.1150868,143.5386264,142.6773947,141.9640077,140.4024036,139.7003916,139.2812904,138.3063214,137.4764835,136.3766716,136.2402949,136.5127755,136.9223138,136.2377023,136.9188908
长春,100,99.6,100.2972,100.798686,101.2018807,101.5054864,101.8100028,102.1154329,102.1154329,102.2175483,101.9108956,101.605163,101.4019526,101.0977468,100.7944535,100.7944535,100.7944535,100.5928646,100.6934575,100.9955379,100.9955379,101.2985245,100.9946289,101.6005967,101.3973955,102.5127668,103.332869,104.3661977,105.5142258,106.4638539,107.2091008,108.2811918,109.0391602,109.4753168,110.1321687,110.5726974,111.0149882,111.3480332,111.9047733,112.1285829,112.1285829,111.4558114,110.6756207,109.7902157,108.3629429,107.6044023,106.9587759,106.423982,106.2111341,105.8925007,105.6807157,105.1523121,104.7317028,104.6269711,104.8362251,105.1507338,105.045583,104.8354919,104.6258209,104.521195,104.2076315,104.5202544,105.1473759,105.3576706,105.7791013,105.9906595,106.0966502,106.4149401,107.0534298,107.9098572,108.3414966,108.6665211,108.8838542,109.3193896,110.1939447,111.2958842,112.5201389,113.5328201,114.4410827,114.898847,115.8180378,116.397128,117.2119079,118.6184508,119.4487799,119.4487799,120.6432677,121.7290571,123.3115349,125.2845194,126.4120801,127.4233768,127.6782235,128.8273275,131.2750467,132.7190723,133.7808248,134.7172906,135.1214425,135.9321711,136.611832,138.3877858,138.6645614,139.9125424,141.3116679,143.1487195,144.5802067,145.7368484,145.7368484,145.5911115,146.173476,146.9043434,147.4919607,148.5244045,148.9699777,149.8637975,150.3133889,150.1630755,149.7125863,149.113736,149.7101909,149.4107705,149.2613598,149.7091438,150.1582713,150.4585878,150.6090464,151.0608735,151.665117,151.8167822,151.3613318,150.9072478,151.2090623,150.7554351,150.7554351,150.7554351,150.4539243,149.4007468,148.9525445,149.2504496,148.2056965,147.1682566,145.9909106,144.3850105,143.6630855,143.2320962,143.6617925,144.2364397,143.9479668,144.6677066,143.6550327,142.5057924,141.9357693,142.2196408,141.5085426,141.6500511,141.9333512,141.2236845,140.5175661,140.0960134,139.8158213,138.9769264,138.8379495,137.8660838,137.0388873,136.7648096,137.0383392,136.3531475,136.0804412,135.400039,134.9938389,134.7238512
哈尔滨,100,99.4,99.9964,100.0963964,100.0963964,100.3966856,100.4970823,100.4970823,100.5975794,100.5975794,100.2957866,99.99489926,99.99489926,99.89490436,99.99479926,100.1947889,100.0945941,100.0945941,100.2947833,100.2947833,100.395078,99.49152234,100.0884715,100.4888254,101.6946913,102.7116382,103.7387546,104.6724034,105.5097826,106.8814098,107.3089354,108.1674069,108.8164113,109.6869426,110.6741251,111.3381698,111.2268317,111.2268317,111.4492853,111.4492853,111.4492853,111.5607346,110.6682487,109.6722345,108.5755122,107.1640305,106.7353744,106.3084329,105.5642739,105.0364525,104.7213431,104.9307858,104.9307858,105.0357166,105.3508237,105.0347713,105.2448408,105.5605753,105.4550148,105.6659248,105.5602589,105.5602589,106.1936204,105.9812332,106.2991769,106.8306728,106.6170114,106.8302454,106.8302454,107.2575664,107.0430513,107.8993957,107.7914963,108.6538283,109.4144051,109.9614771,112.1607066,113.9552779,114.6390096,114.9829266,115.9027901,117.8731375,118.34463,119.5280763,119.6476044,120.4851376,121.5695039,123.1499074,124.6277063,126.3724942,129.1526891,130.3150633,132.0091591,134.6493423,135.8611864,136.5404923,137.7693567,138.5959729,139.9819326,141.24177,142.2304624,143.7949975,144.3701775,145.5251389,146.8348651,148.8905532,149.7838966,150.5328161,150.9844145,150.9844145,151.4373677,152.9517414,152.9517414,153.1046932,153.1046932,153.4109025,153.1040807,153.2571848,152.7974133,151.8806288,151.1212256,151.7257105,152.1808877,152.4852495,153.0951905,152.9420953,152.9420953,152.483269,151.7208526,151.2656901,150.2068302,149.0051756,147.2171135,145.8921595,144.8709144,143.856818,143.2813907,142.4217023,142.1368589,141.4261746,140.2947652,139.4529967,138.1979197,137.645128,137.0945475,137.231642,137.7805686,138.7450326,139.1612677,139.5787515,139.0204365,138.1863139,137.2190097,136.9445716,136.3967934,135.4420158,135.1711318,134.360105,133.8226646,133.2873739,132.4876497,131.2952608,130.376194,129.8546892,128.685997,127.913881,127.4022255,126.7652144,126.6384492,127.0183645,126.7643278,126.3840348
上海,100,101.1,101.3022,101.6061066,101.8093188,101.9111281,101.9111281,101.9111281,101.9111281,101.6053947,101.1989732,100.7941773,100.5925889,100.3914037,100.0902295,99.89004907,99.69026898,99.88964951,99.98953916,99.98953916,99.98953916,99.98953916,100.1895182,100.8908449,102.2024259,104.5530816,107.8987803,110.0567559,111.9277207,114.3901306,116.5635431,118.5451233,120.4418453,121.40538,122.2552177,122.988749,123.6036927,124.0981075,124.5944999,124.9682834,124.5933786,123.7212249,121.9891278,120.4032691,119.0788332,118.2452813,117.6540549,117.3010928,117.3010928,117.1837917,117.1837917,118.0040782,121.0721842,123.9779167,126.3334971,128.354833,130.7935749,133.5402399,136.0775045,138.9351321,142.5474455,146.6813214,152.9886183,158.4962085,162.1416213,166.0330202,168.3574825,177.1120716,182.7796579,183.6935562,183.5098626,183.1428429,182.9597,183.3256195,183.1422938,182.7760092,182.7760092,182.4104572,182.4104572,182.4104572,182.2280468,182.7747309,182.7747309,183.3230551,182.5897629,182.2245834,182.5890325,182.4064435,182.0416306,182.0416306,181.859589,182.0414486,181.8594071,182.0412665,182.9514729,184.0491817,184.2332309,184.7859306,184.6011446,185.1549481,184.9697931,185.5247025,185.3391778,185.8951953,186.8246713,187.57197,188.1346859,188.1346859,189.0753593,189.0753593,189.2644347,190.4000213,191.9232215,192.8828376,193.6543689,194.8162951,195.7903766,196.3777477,196.3777477,196.7705032,197.9511263,198.9408819,199.5377045,200.1363176,200.9368629,201.9415472,202.7493134,203.5603107,203.9674313,204.1713987,204.5797415,205.3980605,206.6304489,207.6636011,208.2865919,208.2865919,208.2865919,209.3280249,210.374665,211.636913,212.0601868,212.6963674,213.3344565,214.1877943,215.6871089,216.1184831,216.982957,217.8508888,218.5044415,219.3784593,219.8172162,220.0370334,221.1372186,221.579493,222.90897,223.3547879,224.2482071,224.6967035,225.820187,226.4976475,227.8566334,228.76806,229.2255961,230.6009497,231.9845554,232.680509,234.0765921,235.246975,236.6584569,237.1317738,238.7916962,239.9856547
